dataset,level,algorithm,number,mal_pre,mal_recall,mal_f1,good_pre,good_recall,good_f1
amd,opcode,RF,0,0.9789,0.9134,0.9450,0.9189,0.9803,0.9486
amd,opcode,SVM,0,0.9703,0.9920,0.9810,0.9918,0.9697,0.9806
amd,opcode,DT,1,0.9546,0.9479,0.9512,0.9483,0.9549,0.9516
amd,opcode,RF,1,0.9836,0.8849,0.9316,0.8954,0.9852,0.9382
amd,opcode,SVM,1,0.9728,0.9909,0.9818,0.9908,0.9723,0.9814
amd,opcode,DT,2,0.9587,0.9637,0.9612,0.9635,0.9585,0.9610
amd,opcode,RF,2,0.9705,0.9303,0.9500,0.9331,0.9717,0.9520
amd,opcode,SVM,2,0.9718,0.9920,0.9818,0.9918,0.9712,0.9814
amd,opcode,DT,3,0.9616,0.9533,0.9574,0.9537,0.9619,0.9578
amd,opcode,RF,3,0.9808,0.9132,0.9458,0.9188,0.9821,0.9494
amd,opcode,SVM,3,0.9758,0.9909,0.9833,0.9908,0.9754,0.9830
amd,opcode,DT,4,0.9607,0.9500,0.9553,0.9505,0.9611,0.9558
amd,opcode,RF,4,0.9786,0.9147,0.9456,0.9200,0.9800,0.9490
amd,opcode,SVM,4,0.9706,0.9912,0.9808,0.9910,0.9699,0.9804
amd,opcode,DT,5,0.9561,0.9425,0.9492,0.9433,0.9567,0.9499
amd,opcode,RF,5,0.9735,0.8937,0.9319,0.9018,0.9756,0.9373
amd,opcode,SVM,5,0.9721,0.9920,0.9819,0.9918,0.9715,0.9815
amd,opcode,DT,6,0.9612,0.9570,0.9591,0.9572,0.9614,0.9593
amd,opcode,RF,6,0.9762,0.9243,0.9495,0.9281,0.9774,0.9522
amd,opcode,SVM,6,0.9718,0.9922,0.9819,0.9921,0.9712,0.9815
amd,opcode,DT,70y,0.9602,0.9686,0.9644,0.9684,0.9598,0.9641
amd,opcode,RF,70y,0.9677,0.9308,0.9489,0.9333,0.9689,0.9508
amd,opcode,SVM,70y,0.9709,0.9943,0.9825,0.9942,0.9702,0.9820
amd,opcode,DT,7,0.9548,0.9590,0.9569,0.9589,0.9546,0.9567
amd,opcode,RF,7,0.9772,0.9228,0.9492,0.9268,0.9785,0.9520
amd,opcode,SVM,7,0.9716,0.9922,0.9818,0.9921,0.9710,0.9814
amd,opcode,DT,8,0.9615,0.9391,0.9502,0.9405,0.9624,0.9513
amd,opcode,RF,8,0.9770,0.9134,0.9441,0.9187,0.9785,0.9477
amd,opcode,SVM,8,0.9713,0.9925,0.9818,0.9923,0.9707,0.9814
